Year ,Row,Image_Id,northing (m),easting (m),elevation (m),salinity (psu),Sarc,Spart,Limon,Bor,Batis,Juncus,Mud,snails (number per image)
,,,,,,,,,,,,,,
2014,1,DSC_2790,-9.811113636,-8.213045455,0.839863636,46.0164429,6,15,0,0,1,0,0,2
,,,,,,,,,,,,,,
2014,1,DSC_2777,-6.700272727,-5.608909091,0.826272727,46.00394026,13,10,0,0,0,0,0,22
,,,,,,,,,,,,,,
2014,1,DSC_2776,-6.460977273,-5.408590909,0.825227273,46.00297852,14,12,0,0,0,0,0,58
,,,,,,,,,,,,,,
2014,1,DSC_2749,0,0,0.797,45.97701149,12,15,0,0,1,0,0,22
,,,,,,,,,,,,,,
2014,1,DSC_2760,-2.63225,-2.2035,0.8085,45.98759065,0,0,0,0,0,0,15,3
,,,,,,,,,,,,,,
2014,1,DSC_2767,-4.307318182,-3.605727273,0.815818182,45.99432284,15,4,0,0,1,0,0,21
,,,,,,,,,,,,,,
2014,1,DSC_2763,-3.350136364,-2.804454545,0.811636364,45.99047588,8,2,0,0,0,0,7,10
,,,,,,,,,,,,,,
2014,1,DSC_2791,-10.05040909,-8.413363636,0.840909091,46.01740464,12,13,0,0,5,0,0,36
,,,,,,,,,,,,,,
2014,1,DSC_2769,-4.785909091,-4.006363636,0.817909091,45.99624632,14,12,0,0,1,0,0,22
,,,,,,,,,,,,,,
2014,1,DSC_2770,-5.025204545,-4.206681818,0.818954545,45.99720807,15,13,1,0,2,0,0,28
,,,,,,,,,,,,,,
2014,1,DSC_2771,-5.2645,-4.407,0.82,45.99816981,14,12,1,0,2,0,0,29
,,,,,,,,,,,,,,
2014,1,DSC_2762,-3.110840909,-2.604136364,0.810590909,45.98951413,4,0,0,0,0,0,11,1
,,,,,,,,,,,,,,
2014,1,DSC_2750,-0.239295455,-0.200318182,0.798045455,45.97797324,12,15,0,0,1,0,0,22
,,,,,,,,,,,,,,
2014,1,DSC_2788,-9.332522727,-7.812409091,0.837772727,46.01451941,3,13,0,0,0,0,2,50
,,,,,,,,,,,,,,
2014,1,DSC_2754,-1.196477273,-1.001590909,0.802227273,45.9818202,10,9,1,0,0,0,3,14
,,,,,,,,,,,,,,
2014,1,DSC_2781,-7.657454545,-6.410181818,0.830454545,46.00778722,13,0,1,0,0,0,2,9
,,,,,,,,,,,,,,
2014,1,DSC_2778,-6.939568182,-5.809227273,0.827318182,46.004902,12,5,0,0,0,0,1,21
,,,,,,,,,,,,,,
2014,1,DSC_2768,-4.546613636,-3.806045455,0.816863636,45.99528458,15,6,0,0,1,0,0,21
,,,,,,,,,,,,,,
2014,1,DSC_2792,-10.28970455,-8.613681818,0.841954545,46.01836638,9,11,4,0,10,2,0,34
,,,,,,,,,,,,,,
2014,1,DSC_2786,-8.853931818,-7.411772727,0.835681818,46.01259593,8,9,0,0,0,0,2,33
,,,,,,,,,,,,,,
2014,1,DSC_2774,-5.982386364,-5.007954545,0.823136364,46.00105503,13,14,0,0,1,0,0,37
,,,,,,,,,,,,,,
