"row.list"	"DSC.list"	"responses"
"1"	"24"	"DSC_5722"	"1"
"2"	"24"	"DSC_5727"	"1"
"3"	"24"	"DSC_5739"	"1"
"4"	"24"	"DSC_5719"	"1"
"5"	"24"	"DSC_5718"	"1"
"6"	"24"	"DSC_5735"	"1"
"7"	"24"	"DSC_5731"	"1"
"8"	"24"	"DSC_5732"	"1"
"9"	"24"	"DSC_5736"	"1"
"10"	"24"	"DSC_5720"	"1"
"11"	"24"	"DSC_5730"	"1"
"12"	"24"	"DSC_5742"	"1"
"13"	"24"	"DSC_5717"	"1"
"14"	"24"	"DSC_5741"	"1"
"15"	"24"	"DSC_5743"	"1"
"16"	"24"	"DSC_5726"	"1"
"17"	"24"	"DSC_5737"	"1"
"18"	"24"	"DSC_5740"	"1"
"19"	"24"	"DSC_5729"	"1"
"20"	"24"	"DSC_5733"	"1"
"21"	"24"	"DSC_5728"	"1"
"22"	"24"	"DSC_5738"	"1"
"23"	"24"	"DSC_5723"	"1"
"24"	"24"	"DSC_5724"	"1"
"25"	"24"	"DSC_5721"	"1"
"26"	"24"	"DSC_5725"	"1"
"27"	"24"	"DSC_5734"	"1"
"28"	"29"	"DSC_6481"	"1"
"29"	"29"	"DSC_6483"	"1"
"30"	"29"	"DSC_6482"	"1"
"31"	"29"	"DSC_6485"	"1"
"32"	"29"	"DSC_6484"	"1"
"33"	"30"	"DSC_6742"	"1"
"34"	"30"	"DSC_6846"	"1"
"35"	"30"	"DSC_6741"	"1"
"36"	"30"	"DSC_6845"	"1"
"37"	"31"	"DSC_6862"	"1"
"38"	"31"	"DSC_6984"	"1"
"39"	"31"	"DSC_6981"	"1"
"40"	"31"	"DSC_6863"	"1"
"41"	"31"	"DSC_6986"	"1"
"42"	"31"	"DSC_6982"	"1"
"43"	"31"	"DSC_6983"	"1"
"44"	"31"	"DSC_6985"	"1"
"45"	"32"	"DSC_7148"	"1"
"46"	"32"	"DSC_7150"	"1"
"47"	"34"	"DSC_7355"	"1"
"48"	"34"	"DSC_7356"	"1"
"49"	"35"	"DSC_7528"	"0"
"50"	"35"	"DSC_7604"	"1"
"51"	"35"	"DSC_7603"	"1"
"52"	"35"	"DSC_7602"	"1"
"53"	"35"	"DSC_7605"	"1"
"54"	"36"	"DSC_7648"	"1"
"55"	"36"	"DSC_7649"	"1"
"56"	"36"	"DSC_7647"	"1"
"57"	"37"	"DSC_7927"	"1"
"58"	"37"	"DSC_7926"	"1"
"59"	"37"	"DSC_7925"	"1"
"60"	"37"	"DSC_7929"	"1"
"61"	"37"	"DSC_7930"	"1"
"62"	"37"	"DSC_7924"	"1"
"63"	"37"	"DSC_7928"	"1"
"64"	"38"	"DSC_7968"	"1"
"65"	"38"	"DSC_7971"	"1"
"66"	"38"	"DSC_7970"	"1"
"67"	"38"	"DSC_7967"	"1"
"68"	"38"	"DSC_7962"	"0"
"69"	"38"	"DSC_7969"	"1"
"70"	"38"	"DSC_7963"	"0"
"71"	"46"	"DSC_9480"	"0"
