"row.list"	"DSC.list"	"responses"
"1"	"24"	"DSC_5722"	"1"
"2"	"24"	"DSC_5727"	"1"
"3"	"24"	"DSC_5719"	"1"
"4"	"24"	"DSC_5718"	"1"
"5"	"24"	"DSC_5735"	"1"
"6"	"24"	"DSC_5731"	"1"
"7"	"24"	"DSC_5732"	"1"
"8"	"24"	"DSC_5736"	"1"
"9"	"24"	"DSC_5720"	"1"
"10"	"24"	"DSC_5730"	"1"
"11"	"24"	"DSC_5717"	"1"
"12"	"24"	"DSC_5726"	"1"
"13"	"24"	"DSC_5729"	"1"
"14"	"24"	"DSC_5733"	"1"
"15"	"24"	"DSC_5728"	"1"
"16"	"24"	"DSC_5723"	"1"
"17"	"24"	"DSC_5724"	"1"
"18"	"24"	"DSC_5721"	"1"
"19"	"24"	"DSC_5725"	"1"
"20"	"24"	"DSC_5734"	"1"
"21"	"24"	"DSC_5716"	"0"
"22"	"31"	"DSC_6995"	"1"
"23"	"31"	"DSC_6993"	"1"
"24"	"36"	"DSC_7644"	"0"
