"row.list"	"DSC.list"	"responses"
"1"	"58"	"DSC_1660"	"0"
"2"	"58"	"DSC_1671"	"0"
"3"	"59"	"DSC_1899"	"0"
"4"	"59"	"DSC_1904"	"0"
"5"	"60"	"DSC_1991"	"0"
"6"	"60"	"DSC_1998"	"0"
"7"	"61"	"DSC_2159"	"0"
"8"	"61"	"DSC_2083"	"0"
"9"	"61"	"DSC_2082"	"1"
"10"	"61"	"DSC_2084"	"0"
"11"	"61"	"DSC_2081"	"0"
"12"	"61"	"DSC_2077"	"0"
"13"	"62"	"DSC_2258"	"0"
"14"	"62"	"DSC_2365"	"0"
"15"	"63"	"DSC_2439"	"0"
"16"	"63"	"DSC_2426"	"0"
"17"	"63"	"DSC_2416"	"0"
"18"	"63"	"DSC_2435"	"0"
"19"	"63"	"DSC_2431"	"0"
"20"	"64"	"DSC_2710"	"0"
"21"	"65"	"DSC_2737"	"0"
"22"	"65"	"DSC_2726"	"0"
"23"	"65"	"DSC_2735"	"0"
"24"	"65"	"DSC_2733"	"0"
"25"	"65"	"DSC_2745"	"0"
"26"	"65"	"DSC_2888"	"0"
"27"	"65"	"DSC_2730"	"0"
"28"	"65"	"DSC_2734"	"0"
"29"	"65"	"DSC_2772"	"0"
"30"	"67"	"DSC_2994"	"0"
"31"	"67"	"DSC_3066"	"0"
"32"	"69"	"DSC_3196"	"0"
"33"	"69"	"DSC_3193"	"0"
"34"	"70"	"DSC_3271"	"0"
"35"	"70"	"DSC_3293"	"0"
"36"	"71"	"DSC_3303"	"0"
"37"	"73"	"DSC_3486"	"1"
"38"	"73"	"DSC_3459"	"0"
"39"	"73"	"DSC_3507"	"0"
"40"	"73"	"DSC_3458"	"1"
"41"	"73"	"DSC_3480"	"0"
"42"	"74"	"DSC_3553"	"0"
"43"	"74"	"DSC_3539"	"0"
"44"	"76"	"DSC_3656"	"0"
"45"	"76"	"DSC_3701"	"0"
"46"	"76"	"DSC_3716"	"0"
"47"	"76"	"DSC_3672"	"0"
"48"	"76"	"DSC_3654"	"0"
"49"	"76"	"DSC_3670"	"0"
"50"	"76"	"DSC_3671"	"0"
"51"	"77"	"DSC_3809"	"0"
"52"	"77"	"DSC_3783"	"0"
"53"	"77"	"DSC_3764"	"0"
"54"	"77"	"DSC_3772"	"0"
"55"	"78"	"DSC_3846"	"0"
"56"	"78"	"DSC_3854"	"0"
"57"	"78"	"DSC_3876"	"0"
"58"	"78"	"DSC_3826"	"0"
"59"	"79"	"DSC_3967"	"0"
"60"	"79"	"DSC_3969"	"0"
"61"	"79"	"DSC_3935"	"0"
"62"	"79"	"DSC_3965"	"0"
"63"	"79"	"DSC_3926"	"0"
"64"	"80"	"DSC_4024"	"0"
"65"	"80"	"DSC_3990"	"0"
"66"	"80"	"DSC_4009"	"0"
"67"	"80"	"DSC_4036"	"0"
"68"	"80"	"DSC_3987"	"0"
"69"	"80"	"DSC_4041"	"0"
"70"	"80"	"DSC_4022"	"0"
