"row.list"	"DSC.list"	"responses"
"1"	"24"	"DSC_5732"	"0"
"2"	"24"	"DSC_5733"	"1"
"3"	"27"	"DSC_6256"	"0"
"4"	"29"	"DSC_6476"	"1"
"5"	"29"	"DSC_6478"	"1"
"6"	"29"	"DSC_6477"	"1"
"7"	"31"	"DSC_6980"	"1"
"8"	"31"	"DSC_6979"	"1"
"9"	"31"	"DSC_6981"	"1"
"10"	"31"	"DSC_6982"	"1"
"11"	"31"	"DSC_6983"	"1"
"12"	"33"	"DSC_7269"	"0"
"13"	"33"	"DSC_7300"	"1"
"14"	"33"	"DSC_7301"	"1"
"15"	"34"	"DSC_7365"	"1"
"16"	"34"	"DSC_7357"	"1"
"17"	"34"	"DSC_7359"	"1"
"18"	"34"	"DSC_7358"	"1"
"19"	"34"	"DSC_7360"	"1"
"20"	"35"	"DSC_7601"	"1"
"21"	"35"	"DSC_7594"	"1"
"22"	"35"	"DSC_7598"	"1"
"23"	"35"	"DSC_7600"	"1"
"24"	"35"	"DSC_7597"	"1"
"25"	"35"	"DSC_7603"	"1"
"26"	"35"	"DSC_7595"	"1"
"27"	"35"	"DSC_7599"	"1"
"28"	"35"	"DSC_7602"	"1"
"29"	"36"	"DSC_7783"	"0"
"30"	"36"	"DSC_7652"	"1"
"31"	"36"	"DSC_7651"	"1"
"32"	"40"	"DSC_8334"	"1"
"33"	"42"	"DSC_8751"	"0"
"34"	"44"	"DSC_9107"	"1"
"35"	"45"	"DSC_9406"	"1"
"36"	"45"	"DSC_9405"	"1"
"37"	"45"	"DSC_9407"	"1"
"38"	"47"	"DSC_9713"	"0"
"39"	"60"	"DSC_1913"	"0"
