"row.list"	"DSC.list"	"responses"
"1"	"32"	"DSC_7093"	"1"
"2"	"33"	"DSC_7226"	"1"
"3"	"33"	"DSC_7221"	"1"
"4"	"33"	"DSC_7249"	"1"
"5"	"33"	"DSC_7230"	"1"
"6"	"33"	"DSC_7222"	"1"
"7"	"33"	"DSC_7228"	"1"
"8"	"33"	"DSC_7248"	"1"
"9"	"33"	"DSC_7250"	"1"
"10"	"33"	"DSC_7225"	"1"
"11"	"33"	"DSC_7227"	"1"
"12"	"33"	"DSC_7224"	"1"
"13"	"33"	"DSC_7247"	"1"
"14"	"33"	"DSC_7246"	"1"
"15"	"33"	"DSC_7223"	"1"
"16"	"33"	"DSC_7245"	"1"
"17"	"33"	"DSC_7229"	"1"
"18"	"34"	"DSC_7417"	"1"
"19"	"34"	"DSC_7404"	"1"
"20"	"34"	"DSC_7421"	"1"
"21"	"34"	"DSC_7392"	"1"
"22"	"34"	"DSC_7403"	"1"
"23"	"34"	"DSC_7391"	"1"
"24"	"34"	"DSC_7426"	"1"
"25"	"34"	"DSC_7418"	"1"
"26"	"34"	"DSC_7405"	"1"
"27"	"34"	"DSC_7390"	"1"
"28"	"34"	"DSC_7400"	"1"
"29"	"34"	"DSC_7380"	"1"
"30"	"34"	"DSC_7389"	"1"
"31"	"34"	"DSC_7406"	"1"
"32"	"34"	"DSC_7422"	"1"
"33"	"34"	"DSC_7409"	"1"
"34"	"34"	"DSC_7388"	"1"
"35"	"34"	"DSC_7379"	"1"
"36"	"34"	"DSC_7424"	"1"
"37"	"34"	"DSC_7378"	"1"
"38"	"34"	"DSC_7387"	"1"
"39"	"34"	"DSC_7419"	"1"
"40"	"34"	"DSC_7415"	"1"
"41"	"34"	"DSC_7386"	"1"
"42"	"34"	"DSC_7381"	"1"
"43"	"34"	"DSC_7393"	"1"
"44"	"34"	"DSC_7427"	"1"
"45"	"34"	"DSC_7428"	"1"
"46"	"34"	"DSC_7408"	"1"
"47"	"34"	"DSC_7429"	"1"
"48"	"34"	"DSC_7430"	"1"
"49"	"34"	"DSC_7423"	"1"
"50"	"34"	"DSC_7416"	"1"
"51"	"34"	"DSC_7425"	"1"
"52"	"34"	"DSC_7420"	"1"
"53"	"35"	"DSC_7517"	"1"
"54"	"35"	"DSC_7559"	"1"
"55"	"35"	"DSC_7522"	"1"
"56"	"35"	"DSC_7564"	"1"
"57"	"35"	"DSC_7516"	"1"
"58"	"35"	"DSC_7567"	"1"
"59"	"35"	"DSC_7570"	"1"
"60"	"35"	"DSC_7545"	"1"
"61"	"35"	"DSC_7547"	"1"
"62"	"35"	"DSC_7571"	"1"
"63"	"35"	"DSC_7562"	"1"
"64"	"35"	"DSC_7506"	"1"
"65"	"35"	"DSC_7569"	"1"
"66"	"35"	"DSC_7568"	"1"
"67"	"35"	"DSC_7528"	"1"
"68"	"35"	"DSC_7523"	"1"
"69"	"35"	"DSC_7505"	"1"
"70"	"35"	"DSC_7507"	"1"
"71"	"35"	"DSC_7521"	"1"
"72"	"35"	"DSC_7540"	"1"
"73"	"35"	"DSC_7551"	"1"
"74"	"35"	"DSC_7524"	"1"
"75"	"35"	"DSC_7525"	"1"
"76"	"35"	"DSC_7526"	"1"
"77"	"35"	"DSC_7541"	"1"
"78"	"35"	"DSC_7542"	"1"
"79"	"35"	"DSC_7546"	"1"
"80"	"35"	"DSC_7565"	"1"
"81"	"35"	"DSC_7566"	"1"
"82"	"35"	"DSC_7527"	"1"
"83"	"35"	"DSC_7518"	"1"
"84"	"36"	"DSC_7747"	"1"
"85"	"36"	"DSC_7754"	"1"
"86"	"36"	"DSC_7748"	"1"
"87"	"36"	"DSC_7756"	"1"
"88"	"37"	"DSC_7872"	"1"
"89"	"37"	"DSC_7910"	"1"
"90"	"37"	"DSC_7906"	"1"
"91"	"37"	"DSC_7836"	"1"
"92"	"37"	"DSC_7838"	"1"
"93"	"37"	"DSC_7912"	"1"
"94"	"37"	"DSC_7911"	"1"
"95"	"37"	"DSC_7908"	"1"
"96"	"37"	"DSC_7907"	"1"
"97"	"37"	"DSC_7837"	"1"
"98"	"37"	"DSC_7913"	"1"
"99"	"37"	"DSC_7909"	"1"
"100"	"38"	"DSC_7993"	"1"
"101"	"38"	"DSC_7991"	"1"
"102"	"38"	"DSC_7990"	"1"
"103"	"38"	"DSC_7992"	"1"
"104"	"38"	"DSC_7980"	"1"
"105"	"38"	"DSC_8032"	"1"
"106"	"38"	"DSC_7994"	"1"
"107"	"38"	"DSC_7978"	"1"
"108"	"38"	"DSC_8036"	"0"
"109"	"38"	"DSC_7983"	"0"
"110"	"38"	"DSC_7988"	"1"
"111"	"38"	"DSC_7979"	"1"
"112"	"39"	"DSC_8253"	"1"
"113"	"39"	"DSC_8258"	"1"
"114"	"39"	"DSC_8251"	"1"
"115"	"39"	"DSC_8254"	"1"
"116"	"39"	"DSC_8252"	"1"
"117"	"43"	"DSC_9035"	"1"
"118"	"43"	"DSC_8982"	"0"
"119"	"44"	"DSC_9112"	"0"
"120"	"45"	"DSC_9410"	"0"
"121"	"46"	"DSC_9477"	"1"
"122"	"46"	"DSC_9479"	"1"
"123"	"46"	"DSC_9478"	"1"
"124"	"46"	"DSC_9481"	"1"
"125"	"46"	"DSC_9482"	"1"
"126"	"46"	"DSC_9480"	"1"
"127"	"47"	"DSC_9749"	"1"
"128"	"47"	"DSC_9750"	"1"
"129"	"47"	"DSC_9747"	"1"
"130"	"47"	"DSC_9748"	"1"
"131"	"47"	"DSC_9746"	"1"
"132"	"48"	"DSC_9854"	"0"
"133"	"50"	"DSC_0225"	"1"
"134"	"50"	"DSC_0199"	"1"
"135"	"51"	"DSC_0423"	"1"
"136"	"52"	"DSC_0547"	"1"
"137"	"55"	"DSC_1182"	"1"
"138"	"55"	"DSC_1183"	"1"
"139"	"55"	"DSC_1184"	"1"
"140"	"57"	"DSC_1544"	"1"
"141"	"57"	"DSC_1543"	"1"
"142"	"57"	"DSC_1545"	"1"
"143"	"57"	"DSC_1546"	"1"
