"row.list"	"DSC.list"	"responses"
"1"	"62"	"DSC_2396"	"1"
"2"	"62"	"DSC_2395"	"1"
"3"	"63"	"DSC_2402"	"1"
"4"	"63"	"DSC_2418"	"1"
"5"	"63"	"DSC_2404"	"1"
"6"	"63"	"DSC_2409"	"1"
"7"	"63"	"DSC_2414"	"1"
"8"	"63"	"DSC_2415"	"1"
"9"	"63"	"DSC_2413"	"1"
"10"	"63"	"DSC_2411"	"1"
"11"	"63"	"DSC_2417"	"1"
"12"	"63"	"DSC_2416"	"1"
"13"	"63"	"DSC_2407"	"1"
"14"	"63"	"DSC_2408"	"1"
"15"	"63"	"DSC_2403"	"1"
"16"	"63"	"DSC_2400"	"1"
"17"	"63"	"DSC_2406"	"1"
"18"	"63"	"DSC_2401"	"1"
"19"	"63"	"DSC_2412"	"1"
"20"	"63"	"DSC_2410"	"1"
"21"	"63"	"DSC_2405"	"1"
"22"	"64"	"DSC_2717"	"1"
"23"	"64"	"DSC_2710"	"1"
"24"	"64"	"DSC_2715"	"1"
"25"	"64"	"DSC_2716"	"1"
"26"	"64"	"DSC_2712"	"1"
"27"	"64"	"DSC_2713"	"1"
"28"	"64"	"DSC_2714"	"1"
"29"	"64"	"DSC_2711"	"1"
"30"	"64"	"DSC_2709"	"1"
"31"	"64"	"DSC_2708"	"1"
"32"	"65"	"DSC_2891"	"1"
"33"	"65"	"DSC_2893"	"1"
"34"	"65"	"DSC_2887"	"1"
"35"	"65"	"DSC_2892"	"1"
"36"	"65"	"DSC_2726"	"1"
"37"	"65"	"DSC_2727"	"1"
"38"	"65"	"DSC_2889"	"1"
"39"	"65"	"DSC_2890"	"1"
"40"	"65"	"DSC_2888"	"1"
"41"	"66"	"DSC_2922"	"1"
"42"	"66"	"DSC_2920"	"1"
"43"	"66"	"DSC_2919"	"1"
"44"	"66"	"DSC_2925"	"1"
"45"	"66"	"DSC_2924"	"1"
"46"	"66"	"DSC_2918"	"1"
"47"	"66"	"DSC_2914"	"1"
"48"	"66"	"DSC_2928"	"1"
"49"	"66"	"DSC_2916"	"1"
"50"	"66"	"DSC_2915"	"1"
"51"	"66"	"DSC_2921"	"1"
"52"	"66"	"DSC_2927"	"1"
"53"	"66"	"DSC_2926"	"1"
"54"	"66"	"DSC_2923"	"1"
"55"	"66"	"DSC_2917"	"1"
"56"	"67"	"DSC_3054"	"1"
"57"	"67"	"DSC_3064"	"1"
"58"	"67"	"DSC_3051"	"1"
"59"	"67"	"DSC_3056"	"1"
"60"	"67"	"DSC_3058"	"1"
"61"	"67"	"DSC_3048"	"1"
"62"	"67"	"DSC_3057"	"1"
"63"	"67"	"DSC_3053"	"1"
"64"	"67"	"DSC_3052"	"1"
"65"	"67"	"DSC_3061"	"1"
"66"	"67"	"DSC_3047"	"1"
"67"	"67"	"DSC_3055"	"1"
"68"	"67"	"DSC_3063"	"1"
"69"	"67"	"DSC_3059"	"1"
"70"	"67"	"DSC_3049"	"1"
"71"	"67"	"DSC_3060"	"1"
"72"	"67"	"DSC_3050"	"1"
"73"	"67"	"DSC_3062"	"1"
"74"	"68"	"DSC_3097"	"1"
"75"	"68"	"DSC_3083"	"1"
"76"	"68"	"DSC_3077"	"1"
"77"	"68"	"DSC_3084"	"1"
"78"	"68"	"DSC_3095"	"1"
"79"	"68"	"DSC_3087"	"1"
"80"	"68"	"DSC_3086"	"1"
"81"	"68"	"DSC_3078"	"1"
"82"	"68"	"DSC_3085"	"1"
"83"	"68"	"DSC_3076"	"1"
"84"	"68"	"DSC_3088"	"1"
"85"	"68"	"DSC_3093"	"1"
"86"	"68"	"DSC_3081"	"1"
"87"	"68"	"DSC_3090"	"1"
"88"	"68"	"DSC_3089"	"1"
"89"	"68"	"DSC_3075"	"1"
"90"	"68"	"DSC_3082"	"1"
"91"	"68"	"DSC_3092"	"1"
"92"	"68"	"DSC_3094"	"1"
"93"	"68"	"DSC_3080"	"1"
"94"	"68"	"DSC_3079"	"1"
"95"	"68"	"DSC_3091"	"1"
"96"	"68"	"DSC_3096"	"1"
"97"	"69"	"DSC_3218"	"1"
"98"	"69"	"DSC_3209"	"1"
"99"	"69"	"DSC_3214"	"1"
"100"	"69"	"DSC_3217"	"1"
"101"	"69"	"DSC_3215"	"1"
"102"	"69"	"DSC_3202"	"1"
"103"	"69"	"DSC_3212"	"1"
"104"	"69"	"DSC_3219"	"1"
"105"	"69"	"DSC_3216"	"1"
"106"	"69"	"DSC_3201"	"1"
"107"	"69"	"DSC_3204"	"1"
"108"	"69"	"DSC_3205"	"1"
"109"	"69"	"DSC_3203"	"1"
"110"	"69"	"DSC_3200"	"1"
"111"	"69"	"DSC_3206"	"1"
"112"	"69"	"DSC_3213"	"1"
"113"	"69"	"DSC_3211"	"1"
"114"	"69"	"DSC_3207"	"1"
"115"	"69"	"DSC_3208"	"1"
"116"	"69"	"DSC_3210"	"1"
"117"	"69"	"DSC_3220"	"1"
"118"	"70"	"DSC_3228"	"1"
"119"	"70"	"DSC_3227"	"1"
"120"	"70"	"DSC_3238"	"1"
"121"	"70"	"DSC_3231"	"1"
"122"	"70"	"DSC_3239"	"1"
"123"	"70"	"DSC_3235"	"1"
"124"	"70"	"DSC_3232"	"1"
"125"	"70"	"DSC_3229"	"1"
"126"	"70"	"DSC_3236"	"1"
"127"	"70"	"DSC_3237"	"1"
"128"	"70"	"DSC_3233"	"1"
"129"	"70"	"DSC_3234"	"1"
"130"	"70"	"DSC_3230"	"1"
"131"	"71"	"DSC_3370"	"1"
"132"	"71"	"DSC_3365"	"1"
"133"	"71"	"DSC_3367"	"1"
"134"	"71"	"DSC_3369"	"1"
"135"	"71"	"DSC_3368"	"1"
"136"	"71"	"DSC_3366"	"1"
"137"	"71"	"DSC_3364"	"1"
"138"	"71"	"DSC_3371"	"1"
"139"	"73"	"DSC_3497"	"1"
"140"	"73"	"DSC_3493"	"1"
"141"	"73"	"DSC_3503"	"1"
"142"	"73"	"DSC_3506"	"1"
"143"	"73"	"DSC_3495"	"1"
"144"	"73"	"DSC_3500"	"1"
"145"	"73"	"DSC_3499"	"1"
"146"	"73"	"DSC_3502"	"1"
"147"	"73"	"DSC_3498"	"1"
"148"	"73"	"DSC_3494"	"1"
"149"	"73"	"DSC_3501"	"1"
"150"	"73"	"DSC_3492"	"1"
"151"	"73"	"DSC_3507"	"1"
"152"	"73"	"DSC_3504"	"1"
"153"	"73"	"DSC_3496"	"1"
"154"	"73"	"DSC_3491"	"1"
"155"	"73"	"DSC_3505"	"1"
"156"	"74"	"DSC_3527"	"1"
"157"	"74"	"DSC_3534"	"1"
"158"	"74"	"DSC_3533"	"1"
"159"	"74"	"DSC_3522"	"1"
"160"	"74"	"DSC_3515"	"1"
"161"	"74"	"DSC_3520"	"1"
"162"	"74"	"DSC_3525"	"1"
"163"	"74"	"DSC_3523"	"1"
"164"	"74"	"DSC_3532"	"1"
"165"	"74"	"DSC_3529"	"1"
"166"	"74"	"DSC_3514"	"1"
"167"	"74"	"DSC_3516"	"1"
"168"	"74"	"DSC_3528"	"1"
"169"	"74"	"DSC_3518"	"1"
"170"	"74"	"DSC_3513"	"1"
"171"	"74"	"DSC_3521"	"1"
"172"	"74"	"DSC_3526"	"1"
"173"	"74"	"DSC_3519"	"1"
"174"	"74"	"DSC_3511"	"1"
"175"	"74"	"DSC_3535"	"1"
"176"	"74"	"DSC_3531"	"1"
"177"	"74"	"DSC_3524"	"1"
